naics,naics_title,short_title,short_label,full_label,match_level,year,cap,plant,equip,invest,cap_labor_ratio,emp,prode,non_prod_workers,pay,prodh,prodw,matcost,robots_adopted,robotics_productivity_gain,robotics_cost_savings,jobs_displaced,training_hours,manuf_export_share,gdp_per_capita,inflation,real_gdp,labor_productivity,revenue_per_worker
311111,Dog and Cat Food Manufacturing,Dog & Cat Food Mfg,311111 | Dog & Cat Food Mfg,311111 - Dog and Cat Food Manufacturing,exact,2015,5649.8,1400.9,4248.9,584.0,342.41212121212124,16.5,12.5,4.0,1008.6,29.7,740.0,12361.5,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,626.4,1370.0484848484848
311919,Other Snack Food Manufacturing,Other Snack Food Mfg,311919 | Other Snack Food Mfg,311919 - Other Snack Food Manufacturing,exact,2015,6265.9,1844.8,4421.0,554.1,181.62028985507246,34.5,26.1,8.399999999999999,1663.2,50.2,1118.5,7118.3,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,453.9014492753623,661.9623188405798
311919,Other Snack Food Manufacturing,Other Snack Food Mfg,311919 | Other Snack Food Mfg,311919 - Other Snack Food Manufacturing,exact,2016,6444.1,1870.2,4574.0,494.3,177.52341597796146,36.3,27.7,8.599999999999998,1830.9,54.3,1309.7,6935.1,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,454.43801652892563,645.1707988980717
311930,Flavoring Syrup and Concentrate Manufacturing,Flavoring Syrup & Concentrate Mfg,311930 | Flavoring Syrup & Concentrate Mfg,311930 - Flavoring Syrup and Concentrate Manufacturing,exact,2015,2284.7,724.6,1560.1,246.6,317.3194444444444,7.2,4.4,2.8,459.9,9.3,222.6,2692.2,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,1012.875,1388.3194444444443
311930,Flavoring Syrup and Concentrate Manufacturing,Flavoring Syrup & Concentrate Mfg,311930 | Flavoring Syrup & Concentrate Mfg,311930 - Flavoring Syrup and Concentrate Manufacturing,exact,2016,2424.3,738.7,1685.6,305.3,351.3478260869565,6.9,4.2,2.7,471.4,8.8,227.6,2804.2,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,1118.0579710144928,1521.4782608695652
312111,Soft Drink Manufacturing,Soft Drink Mfg,312111 | Soft Drink Mfg,312111 - Soft Drink Manufacturing,exact,2015,15785.6,4549.3,11236.3,838.8,330.9350104821803,47.7,28.7,19.000000000000004,2664.6,60.4,1586.1,28596.2,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,323.83228511530393,922.8574423480084
312111,Soft Drink Manufacturing,Soft Drink Mfg,312111 | Soft Drink Mfg,312111 - Soft Drink Manufacturing,exact,2016,15438.5,4524.5,10914.0,876.6,322.9811715481172,47.8,28.7,19.099999999999998,2818.0,60.4,1670.4,26107.0,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,299.2866108786611,842.9100418410042
312120,Breweries,Breweries,312120 | Breweries,312120 - Breweries,exact,2015,14914.7,5028.8,9885.9,1303.0,426.13428571428574,35.0,20.9,14.100000000000001,2221.7,38.4,1281.1,11415.5,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,567.8057142857143,891.3285714285714
312120,Breweries,Breweries,312120 | Breweries,312120 - Breweries,exact,2016,15211.5,5036.9,10174.7,1568.8,378.39552238805965,40.2,24.1,16.1,2488.2,43.7,1481.2,10409.7,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,520.1567164179104,776.7611940298507
312130,Wineries,Wineries,312130 | Wineries,312130 - Wineries,exact,2015,8625.4,2463.6,6161.8,887.9,214.56218905472633,40.2,16.9,23.300000000000004,2242.5,33.9,830.4,7941.9,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,313.9676616915423,496.6442786069651
312130,Wineries,Wineries,312130 | Wineries,312130 - Wineries,exact,2016,8998.0,2563.7,6434.3,1000.3,212.2169811320755,42.4,18.4,24.0,2406.4,36.0,910.8,8420.2,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,322.9929245283019,512.4528301886793
312140,Distilleries,Distilleries,312140 | Distilleries,312140 - Distilleries,exact,2015,2039.5,660.6,1378.9,324.5,237.1511627906977,8.6,5.8,2.8,564.8,11.4,338.3,3746.8,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,951.5813953488373,1374.6162790697676
312140,Distilleries,Distilleries,312140 | Distilleries,312140 - Distilleries,exact,2016,2163.9,705.3,1458.6,372.8,237.79120879120882,9.1,5.8,3.3,618.3,12.6,337.2,3823.9,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,945.4285714285714,1376.3846153846155
312230,Tobacco Manufacturing,Tobacco Mfg,312230 | Tobacco Mfg,312230 - Tobacco Manufacturing,exact,2015,6554.6,3036.6,3518.0,347.5,504.20000000000005,13.0,9.8,3.1999999999999993,813.1,17.7,489.0,7967.7,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,2579.876923076923,3188.707692307692
312230,Tobacco Manufacturing,Tobacco Mfg,312230 | Tobacco Mfg,312230 - Tobacco Manufacturing,exact,2016,6466.5,3001.5,3465.0,344.7,497.4230769230769,13.0,9.8,3.1999999999999993,854.9,18.5,515.8,8242.2,253,16.99,195.43,366,472,63.2604946594473,58179.7,2.197,19141.68,2643.584615384615,3278.361538461538
313210,Broadwoven Fabric Mills,Broadwoven Fabric Mills,313210 | Broadwoven Fabric Mills,313210 - Broadwoven Fabric Mills,exact,2015,6531.8,3641.8,2890.0,125.9,371.125,17.6,15.0,2.6000000000000014,691.5,31.7,504.3,2645.1,107,7.86,170.67,293,161,63.7146529670619,57006.93,0.695,18799.6,89.21590909090908,240.59090909090904
