naics,year,cap,plant,equip,invest,cap_labor_ratio,emp,prode,non_prod_workers,pay,prodh,prodw,matcost
311520,2026,3904.6,1370.8,2533.9,293.7,212.20652173913044,18.4,14.9,3.4999999999999982,870.6,28.6,674.3,4804.0
311520,2027,3904.6,1370.8,2533.9,293.7,212.20652173913044,18.4,14.9,3.4999999999999982,870.6,28.6,674.3,4804.0
311611,2024,16826.4,6139.8,10686.6,962.2,116.9312022237665,143.9,125.9,18.0,5669.8,249.6,4536.8,70939.5
311611,2025,16826.4,6139.8,10686.6,962.2,116.9312022237665,143.9,125.9,18.0,5669.8,249.6,4536.8,70939.5
311611,2026,16826.4,6139.8,10686.6,962.2,116.9312022237665,143.9,125.9,18.0,5669.8,249.6,4536.8,70939.5
311611,2027,16826.4,6139.8,10686.6,962.2,116.9312022237665,143.9,125.9,18.0,5669.8,249.6,4536.8,70939.5
311612,2024,12093.3,4417.2,7676.1,1370.7,118.67811579980372,101.9,85.0,16.900000000000006,4372.2,185.1,3175.3,34567.1
311612,2025,12093.3,4417.2,7676.1,1370.7,118.67811579980372,101.9,85.0,16.900000000000006,4372.2,185.1,3175.3,34567.1
311612,2026,12093.3,4417.2,7676.1,1370.7,118.67811579980372,101.9,85.0,16.900000000000006,4372.2,185.1,3175.3,34567.1
311612,2027,12093.3,4417.2,7676.1,1370.7,118.67811579980372,101.9,85.0,16.900000000000006,4372.2,185.1,3175.3,34567.1
311613,2024,1687.7,533.7,1154.0,141.8,187.52222222222224,9.0,5.5,3.5,486.9,12.3,274.8,2156.3
311613,2025,1687.7,533.7,1154.0,141.8,187.52222222222224,9.0,5.5,3.5,486.9,12.3,274.8,2156.3
311613,2026,1687.7,533.7,1154.0,141.8,187.52222222222224,9.0,5.5,3.5,486.9,12.3,274.8,2156.3
311613,2027,1687.7,533.7,1154.0,141.8,187.52222222222224,9.0,5.5,3.5,486.9,12.3,274.8,2156.3
311615,2024,17360.5,5472.7,11887.8,1695.1,77.26079216733423,224.7,201.9,22.799999999999983,7207.9,414.6,5821.3,36400.6
311615,2025,17360.5,5472.7,11887.8,1695.1,77.26079216733423,224.7,201.9,22.799999999999983,7207.9,414.6,5821.3,36400.6
311615,2026,17360.5,5472.7,11887.8,1695.1,77.26079216733423,224.7,201.9,22.799999999999983,7207.9,414.6,5821.3,36400.6
311615,2027,17360.5,5472.7,11887.8,1695.1,77.26079216733423,224.7,201.9,22.799999999999983,7207.9,414.6,5821.3,36400.6
311710,2024,3882.9,1123.7,2759.2,338.6,126.8921568627451,30.6,25.5,5.100000000000001,1406.1,52.0,1006.3,7828.7
311710,2025,3882.9,1123.7,2759.2,338.6,126.8921568627451,30.6,25.5,5.100000000000001,1406.1,52.0,1006.3,7828.7
311710,2026,3882.9,1123.7,2759.2,338.6,126.8921568627451,30.6,25.5,5.100000000000001,1406.1,52.0,1006.3,7828.7
311710,2027,3882.9,1123.7,2759.2,338.6,126.8921568627451,30.6,25.5,5.100000000000001,1406.1,52.0,1006.3,7828.7
311811,2024,1589.5,533.9,1055.7,155.8,31.413043478260867,50.6,29.9,20.700000000000003,1220.1,48.3,785.5,1248.3
311811,2025,1589.5,533.9,1055.7,155.8,31.413043478260867,50.6,29.9,20.700000000000003,1220.1,48.3,785.5,1248.3
311811,2026,1589.5,533.9,1055.7,155.8,31.413043478260867,50.6,29.9,20.700000000000003,1220.1,48.3,785.5,1248.3
311811,2027,1589.5,533.9,1055.7,155.8,31.413043478260867,50.6,29.9,20.700000000000003,1220.1,48.3,785.5,1248.3
311812,2024,13839.7,4863.5,8976.2,811.3,125.92993630573248,109.9,74.3,35.60000000000001,4956.9,147.6,2760.1,10769.0
311812,2025,13839.7,4863.5,8976.2,811.3,125.92993630573248,109.9,74.3,35.60000000000001,4956.9,147.6,2760.1,10769.0
311812,2026,13839.7,4863.5,8976.2,811.3,125.92993630573248,109.9,74.3,35.60000000000001,4956.9,147.6,2760.1,10769.0
311812,2027,13839.7,4863.5,8976.2,811.3,125.92993630573248,109.9,74.3,35.60000000000001,4956.9,147.6,2760.1,10769.0
311813,2024,1853.4,371.2,1482.2,195.7,86.60747663551403,21.4,16.5,4.899999999999999,858.0,35.5,555.7,3114.9
311813,2025,1853.4,371.2,1482.2,195.7,86.60747663551403,21.4,16.5,4.899999999999999,858.0,35.5,555.7,3114.9
311813,2026,1853.4,371.2,1482.2,195.7,86.60747663551403,21.4,16.5,4.899999999999999,858.0,35.5,555.7,3114.9
311813,2027,1853.4,371.2,1482.2,195.7,86.60747663551403,21.4,16.5,4.899999999999999,858.0,35.5,555.7,3114.9
311821,2024,4958.6,1227.4,3731.2,335.7,161.51791530944627,30.7,24.9,5.800000000000001,1528.2,48.3,1072.8,4806.8
