naics,naics_title,match_level,short_title,short_label,full_label
322291,Sanitary Paper Product Manufacturing,exact,Sanitary Paper Prod Mfg,322291 | Sanitary Paper Prod Mfg,322291 - Sanitary Paper Product Manufacturing
322299,All Other Converted Paper Product Manufacturing,exact,All Other Converted Paper Prod Mfg,322299 | All Other Converted Paper Prod Mfg,322299 - All Other Converted Paper Product Manufacturing
323111,Commercial Printing (except Screen and Books),exact,Commercial Print (except Screen & Books),323111 | Commercial Print (except Screen & Books),323111 - Commercial Printing (except Screen and Books)
323113,Commercial Screen Printing,exact,Commercial Screen Print,323113 | Commercial Screen Print,323113 - Commercial Screen Printing
323117,Books Printing,exact,Books Print,323117 | Books Print,323117 - Books Printing
323120,Support Activities for Printing,exact,Support Activities for Print,323120 | Support Activities for Print,323120 - Support Activities for Printing
324110,Petroleum Refineries,exact,Petroleum Refineries,324110 | Petroleum Refineries,324110 - Petroleum Refineries
324121,Asphalt Paving Mixture and Block Manufacturing,exact,Asphalt Paving Mixture & Block Mfg,324121 | Asphalt Paving Mixture & Block Mfg,324121 - Asphalt Paving Mixture and Block Manufacturing
324122,Asphalt Shingle and Coating Materials Manufacturing,exact,Asphalt Shingle & Coating Materials Mfg,324122 | Asphalt Shingle & Coating Materials Mfg,324122 - Asphalt Shingle and Coating Materials Manufacturing
324191,Petroleum Lubricating Oil and Grease Manufacturing,exact,Petroleum Lubricating Oil & Grease Mfg,324191 | Petroleum Lubricating Oil & Grease Mfg,324191 - Petroleum Lubricating Oil and Grease Manufacturing
324199,All Other Petroleum and Coal Products Manufacturing,exact,All Other Petroleum & Coal Prod Mfg,324199 | All Other Petroleum & Coal Prod Mfg,324199 - All Other Petroleum and Coal Products Manufacturing
325110,Petrochemical Manufacturing,exact,Petrochemical Mfg,325110 | Petrochemical Mfg,325110 - Petrochemical Manufacturing
325120,Industrial Gas Manufacturing,exact,Industrial Gas Mfg,325120 | Industrial Gas Mfg,325120 - Industrial Gas Manufacturing
325130,Synthetic Dye and Pigment Manufacturing,exact,Synthetic Dye & Pigment Mfg,325130 | Synthetic Dye & Pigment Mfg,325130 - Synthetic Dye and Pigment Manufacturing
325180,Other Basic Inorganic Chemical Manufacturing,exact,Other Basic Inorganic Chem Mfg,325180 | Other Basic Inorganic Chem Mfg,325180 - Other Basic Inorganic Chemical Manufacturing
325193,Ethyl Alcohol Manufacturing,exact,Ethyl Alcohol Mfg,325193 | Ethyl Alcohol Mfg,325193 - Ethyl Alcohol Manufacturing
