naics,naics_title,short_title,short_label,full_label,match_level,avg_baseline_productivity,avg_scenario_productivity,avg_baseline_revenue,avg_scenario_revenue,prod_change,prod_pct_change,revenue_change,revenue_pct_change
313230,Nonwoven Fabric Mills,Nonwoven Fabric Mills,313230 | Nonwoven Fabric Mills,313230 - Nonwoven Fabric Mills,exact,226.30017,226.30017,484.4223,484.4223,0.0,0.0,0.0,0.0
313240,Knit Fabric Mills,Knit Fabric Mills,313240 | Knit Fabric Mills,313240 - Knit Fabric Mills,exact,89.535904,89.535904,209.67369,209.67369,0.0,0.0,0.0,0.0
313310,Textile and Fabric Finishing Mills,Text & Fabric Finishing Mills,313310 | Text & Fabric Finishing Mills,313310 - Textile and Fabric Finishing Mills,exact,126.07116,126.07116,279.36703,279.36703,0.0,0.0,0.0,0.0
313320,Fabric Coating Mills,Fabric Coating Mills,313320 | Fabric Coating Mills,313320 - Fabric Coating Mills,exact,176.01346,176.01346,363.8075,363.8075,0.0,0.0,0.0,0.0
314110,Carpet and Rug Mills,Carpet & Rug Mills,314110 | Carpet & Rug Mills,314110 - Carpet and Rug Mills,exact,143.33142,143.33142,329.92023,329.92023,0.0,0.0,0.0,0.0
314120,Curtain and Linen Mills,Curtain & Linen Mills,314120 | Curtain & Linen Mills,314120 - Curtain and Linen Mills,exact,87.831635,87.831635,216.31638,216.31638,0.0,0.0,0.0,0.0
314910,Textile Bag and Canvas Mills,Text Bag & Canvas Mills,314910 | Text Bag & Canvas Mills,314910 - Textile Bag and Canvas Mills,exact,96.052826,96.052826,201.0858,201.0858,0.0,0.0,0.0,0.0
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills","Rope, Cordage, Twine, Tire Cord, & Ti...","314994 | Rope, Cordage, Twine, Tire Cord, & Ti...","314994 - Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",exact,130.45177,130.45177,307.80423,307.80423,0.0,0.0,0.0,0.0
314999,All Other Miscellaneous Textile Product Mills,All Other Misc Text Prod Mills,314999 | All Other Misc Text Prod Mills,314999 - All Other Miscellaneous Textile Product Mills,exact,84.47767,84.47767,177.06802,177.06802,0.0,0.0,0.0,0.0
315110,Apparel Knitting MillsT,App Knitting MillsT,315110 | App Knitting MillsT,315110 - Apparel Knitting MillsT,prefix_4_digit,74.278114,74.278114,135.44746,135.44746,0.0,0.0,0.0,0.0
315190,Apparel Knitting MillsT,App Knitting MillsT,315190 | App Knitting MillsT,315190 - Apparel Knitting MillsT,prefix_4_digit,376.8587,376.8587,636.96704,636.96704,0.0,0.0,0.0,0.0
